Converted Cost,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Density,ZIP
11.76,0.137173751,1734900,98.41591895,7,0.2125,0.023477819,92806
6.24,0.137173751,2125000,98.41591895,4,0.22,0.023477819,90621
12.38,0.195263421,94000,0.936966917,3,0.20375,0.011341311,95454
12.38,0.195263421,94000,0.936966917,3,0.20375,0.011341311,95454
6,0.138950817,2544100,98.41591895,96,0.2275,0.015706776,90802
10,0.114409822,1222700,98.41591895,7,0.2275,0.015706776,91740
10.24,0.114409822,5406300,98.41591895,211,0.2025,0.023477819,92618
12.38,0.195263421,177800,33.51163594,6,0.21475,0.005522624,93210
5,0.178812234,2286900,82.13388047,20,0.22375,0.032874461,94005
5,0.183785529,8854100,125.2839303,22,0.21625,0.042417775,94043
5,0.183785529,8854100,125.2839303,22,0.21625,0.042417775,94043
5,0.183785529,8854100,125.2839303,22,0.21625,0.042417775,94043
5.5,0.195263421,2010200,125.2839303,15,0.2225,0.020793997,95060
5.8,0.114047668,765500,98.41591895,3,0.2125,0.008204125,92880
7,0.195263421,1728300,82.13388047,19,0.2325,0.028380844,94544
6,0.195263421,1650100,82.13388047,17,0.2125,0.021996425,94596
5.8,0.114047668,928700,98.41591895,8,0.2125,0.008204125,92882
15.76,0.195263421,1890500,82.13388047,5,0.2125,0.021996425,94526
4,0.114409822,1539600,98.41591895,3,0.23,0.015706776,90670
14.7,0.114409822,3966600,98.41591895,30,0.2275,0.015706776,90505
14.7,0.114409822,3081800,98.41591895,7,0.2275,0.015706776,90504
14.7,0.114409822,4022400,98.41591895,20,0.2275,0.015706776,90503
8,0.195263421,328700,4.185525878,4,0.2125,0.012226219,93446
8,0.137173751,1916800,98.41591895,32,0.2125,0.023477819,92831
12.38,0.195263421,141400,1.460718582,2,0.2125,0.003396199,93610
7.5,0.147459069,259050,3.366540988,3,0.2025,0.008204125,92539
12.38,0.195263421,266100,17.01596331,4,0.2125,0.002864043,93635
12.38,0.195263421,271200,21.08842976,2,0.1975,0.013857474,95735
20.64,0.178916986,497000,21.08842976,7,0.2075,0.009549828,96161
6,0.114409822,1595000,98.41591895,9,0.2275,0.023477819,90631
6.24,0.195263421,2513300,82.13388047,20,0.2275,0.028380844,94568
6.24,0.136206366,40100,5.762458356,4,0.2025,0.002204882,96097
9.9,0.11685727,329500,0.309507108,14,0.2125,0.008204125,92201
4.76,0.195263421,4145300,125.2839303,4,0.21875,0.042417775,95118
13.36,0.114409822,209800,3.366540988,6,0.2025,0.008204125,92223
14.62,0.195263421,1313600,125.2839303,11,0.2175,0.007276522,93933
8.76,0.145736987,333800,3.606238302,5,0.2125,0.009306481,95815
14.62,0.195263421,735600,17.01596331,8,0.2175,0.010597553,95023
9.24,0.195263421,113100,1.460718582,3,0.2085,0.005522624,93706
6.76,0.135852178,348100,3.366540988,6,0.2125,0.008204125,92553
9.9,0.178916986,600800,21.08842976,8,0.2125,0.013857474,96150
11.12,0.125722524,791600,98.41591895,8,0.2125,0.008204125,92879
12.5,0.195263421,2343800,125.2839303,4,0.2175,0.007276522,93953
9.9,0.195263421,301500,2.242794509,11,0.21375,0.011341311,95482
9.5,0.114409822,2821800,98.41591895,82,0.2175,0.023477819,92626
14.24,0.17875461,527800,13.2341449,8,0.2125,0.012749926,95691
10.24,0.114409822,5406300,98.41591895,211,0.2025,0.023477819,92618
10.24,0.114409822,5152300,98.41591895,7,0.2025,0.023477819,92620
10.24,0.114409822,9716400,98.41591895,9,0.2025,0.023477819,92657
10.24,0.114409822,9716400,98.41591895,9,0.2025,0.023477819,92657
6,0.138950817,2544100,98.41591895,96,0.2275,0.015706776,90802
11.12,0.114409822,76350,1.850682973,5,0.2025,0.007031053,92309
11.12,0.114409822,76350,1.850682973,5,0.2025,0.007031053,92309
11.76,0.114409822,6151300,98.41591895,4,0.2125,0.023477819,90740
10.24,0.114409822,5064000,98.41591895,16,0.2025,0.023477819,92602
10.24,0.114409822,5064000,98.41591895,16,0.2025,0.023477819,92602
11.1,0.180508316,1036800,22.27587347,16,0.2125,0.014544309,91911
11.1,0.180508316,1036800,22.27587347,16,0.2125,0.014544309,91911
11.1,0.180508316,446300,22.27587347,14,0.2075,0.014544309,92021
11.1,0.180508316,1279200,22.27587347,25,0.2075,0.014544309,92054
11.1,0.180508316,843100,22.27587347,23,0.2125,0.014544309,91950
11.1,0.180508316,843100,22.27587347,23,0.2125,0.014544309,91950
6.6,0.114409822,8434900,98.41591895,36,0.2275,0.015706776,90803
6.6,0.114409822,8434900,98.41591895,36,0.2275,0.015706776,90803
5,0.125722524,354000,98.41591895,2,0.2125,0.008204125,92860
12.38,0.195263421,102300,6.087859819,4,0.1975,0.003286873,93206
12.38,0.195263421,102300,6.087859819,4,0.1975,0.003286873,93206
12.38,0.195263421,102300,6.087859819,4,0.1975,0.003286873,93206
12.94,0.175577736,191950,3.422110246,2,0.2075,0.003323031,95548
12.38,0.154836621,207500,33.51163594,3,0.1975,0.002238056,93245
10.24,0.114409822,3724200,98.41591895,3,0.2025,0.023477819,92782
10.24,0.114409822,3724200,98.41591895,3,0.2025,0.023477819,92782
8.76,0.114409822,362300,3.366540988,36,0.2125,0.007031053,92346
6.24,0.137173751,2187000,98.41591895,46,0.2175,0.023477819,92868
6.24,0.137173751,2187000,98.41591895,46,0.2175,0.023477819,92868
6.24,0.137173751,2187000,98.41591895,46,0.2175,0.023477819,92868
6.24,0.114409822,1855300,98.41591895,13,0.2175,0.023477819,92701
6.24,0.114409822,1798900,98.41591895,5,0.2175,0.023477819,92703
6.24,0.180508316,4149400,227.1153202,8,0.2025,0.014544309,92672
6.24,0.180508316,4149400,227.1153202,8,0.2025,0.014544309,92672
6.24,0.180508316,4149400,227.1153202,8,0.2025,0.014544309,92672
