Fuel Type Code,Station Name,City,Street Address,State,ZIP,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Access Code,Facility Type,L1 $/Hr,L1 flat,L1 $/kWh,L2 $/hr,L2 flat,L2 $/kWh,DCFC $/Hr,DCFC flat,DCFC $/kWh,,
ELEC,MASS AUDUBON JOPPA FLATS,Newburyport,1 Plum Island Turnpike,MA,1950,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1.85,,,,,,0,1.85
ELEC,NATIONAL GRID CHILIS PLNVILLE,Plainville,107 Taunton St,MA,2762,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,AC REG PLANNING STATION 1,Middlebury,14 Seminary St,VT,5753,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,2.32,,,,,,0,2.32
ELEC,EVSP WALGREENS STORE 11241,Aliso Viejo,26531 Aliso Creek Rd,CA,92656,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,NATIONAL GRID REVERE 99,Revere,121 Vfw Pkwy,MA,2151,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,NATIONAL GRID ROCKLANDLIBRARY,Rockland,20 Belmont St,MA,2370,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,FAYETTEVILLE NC FRANKLIN 2,Fayetteville,208 Franklin St,NC,28301,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,OUC AVALON PARK 1,Orlando,3680 Avalon Park E Blvd,FL,32828,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,CITY OF ORLANDO GEICO UNIT 01,Orlando,400 W South St,FL,32805,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,OUC COO CNL P4-02,Orlando,460 Boone Ave,FL,32801,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,OUC STCL CIVIC CTR1,Saint Cloud,3001 17th St,FL,34769,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,WEST HALF 2 & 3 1400 JOYCE,Arlington,1400 S Joyce St,VA,22202,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1,,,,,,0,1
ELEC,CITY OF DUBLIN STATION 3,Dublin,200 Civic Plaza,CA,94568,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.3,,,,0,0.3
ELEC,"CHARLOTTE, NC CMGC STATION 4",Charlotte,232 S Davidson St,NC,28202,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,"CHARLOTTE, NC MALLARD CK 02",Charlotte,1712 J N Pease Pl,NC,28262,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,WHOLE FOODS MKT BEE CAVE ST1,Bee Cave,12601 Hill Country Blvd,TX,78738,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,GOOGLE PIT-BAK-3-02,Pittsburgh,6425 Penn Ave,PA,15206,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,C&C HONOLULU FASI CIVIC CTR,Honolulu,650 S. King Street,HI,96813,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,CITYOF CAMPBELL 2NDST GARAGE UL,Campbell,41 N 2nd St,CA,95008,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,0.3,,0.25,,,,0,0.55
ELEC,MT CLEMENS DDA MAIN ST PARK #1,Mt Clemens,39 N Main St,MI,48043,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,KANE COUNTY KANE COURTHOUSE,Geneva,100 S 3rd St,IL,60134,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,0.99,,,,,,0,0.99
ELEC,JOHNSON COUNTY YOUTH&FAMILY,Olathe,920 W Spruce St,KS,66061,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,Durham County - Justice Center Parking Deck,Durham,510 S Dillard St,NC,27701,4,,ChargePoint Network,http://www.chargepoint.com/,public,MUNI_GOV,,,,,,,,,,0,0
ELEC,MT CLEMENS DDA EMERALD      #1,Mt Clemens,27 N. walnut,MI,48043,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,DTCC TERRY BUILDING 400,Dover,Scarborough Rd,DE,19901,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,OUC VCC UNIT 04,Orlando,1800 S Kirkman Rd,FL,32811,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,MTA LTR MT WASHNGTN,Baltimore,5701 Smith Ave,MD,21209,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,HILLS COUNTY KEEL LIBRARY,Tampa,2902 W Bearss Ave,FL,33618,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1.49,,,,,,0,1.49
ELEC,OUC ORMC COPELAND1A,Orlando,1367 Lucerne Ter,FL,32806,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,BARNES FOUNDATION #3,Philadelphia,2025 Benjamin Franklin Pkwy,PA,19130,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,CITY OF SPARTA LIBRARY,Sparta,126 W Main St,WI,54656,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,CITY OF COTATI COMMUNITYCENTR2,Cotati,216 E School St,CA,94931,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,0.5,,,,,,0,0.5
ELEC,OUC CROWNE PLAZA 1,Orlando,304 W Colonial Drive,FL,32801,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,0.12,,,,0,0.12
ELEC,HILLS COUNTY PLANT CITY 1,Plant City,301 N Michigan Ave,FL,33563,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1.49,,,,,,0,1.49
ELEC,LELD TOYOTA 2,Littleton,221 Great Rd,MA,1460,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,,,,,,0,0
ELEC,KING COUNTY DOT KSC STATION #1,Seattle,201 S Jackson St,WA,98104,1,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,,2,,,,,0,2
ELEC,HARTNELLCOLLEGE CENTRAL AVE 1,Salinas,411 Central Ave,CA,93901,2,,ChargePoint Network,http://www.chargepoint.com/,public,,,,,1,,,,,,0,1
