,ZIP,Electric Price,Land Value,Economic Activity,Station Count,Sales Tax,Converted Cost
148,32801.0,0.083943921,1018100.0,1.539400712,21.0,0.065,2.4
149,32803.0,0.0905584675,631100.0,1.539400712,6.0,0.065,2.4
150,32804.0,0.0905584675,645200.0,1.539400712,3.0,0.065,2.4
151,32806.0,0.0905584675,385900.0,1.539400712,3.0,0.065,2.4
152,32808.0,0.0905584675,75600.0,1.539400712,1.0,0.065,2.4
153,32809.0,0.097173014,234900.0,15.66438974,2.0,0.065,2.4
154,32811.0,0.0905584675,130600.0,1.539400712,4.0,0.065,2.4
155,32819.0,0.097173014,307700.0,15.66438974,21.0,0.065,2.4
156,32821.0,0.089625971,256100.0,15.66438974,5.0,0.065,4.665
157,32822.0,0.0905584675,171300.0,15.66438974,1.0,0.065,2.4
158,32827.0,0.097173014,395100.0,15.66438974,11.0,0.065,2.4
159,32828.0,0.089371716,254600.0,1.539400712,6.0,0.065,2.4
160,32835.0,0.0905584675,201000.0,1.539400712,2.0,0.065,2.4
161,32839.0,0.0905584675,154800.0,15.66438974,4.0,0.065,2.4
162,33019.0,0.081570418,1516000.0,85.27706923,6.0,0.07,4.2
163,33143.0,0.081570418,1241500.0,102.60587531499999,1.0,0.07,4.2299999999999995
164,33301.0,0.081570418,3263500.0,69.760134115,22.0,0.07,6.135
165,33487.0,0.081570418,1209600.0,19.58558683,8.0,0.07,5.5
166,33563.0,0.084777407,102000.0,69.16602715,1.0,0.075,4.47
167,33596.0,0.084777407,162500.0,69.16602715,1.0,0.075,4.47
168,33602.0,0.084777407,751700.0,69.16602715,54.0,0.075,4.47
169,33607.0,0.084777407,344600.0,69.16602715,12.0,0.075,7.7250000000000005
170,33618.0,0.084777407,263600.0,69.16602715,1.0,0.075,4.47
171,33619.0,0.084777407,94800.0,69.16602715,11.0,0.075,4.47
172,33706.0,0.097173014,1737100.0,44.98349289,2.0,0.07,2.37
173,33901.0,0.081570418,239800.0,8.720787592,3.0,0.065,0.8
174,34205.0,0.081570418,193100.0,75.59630237,8.0,0.07,4.5
175,34769.0,0.097173014,123700.0,15.66438974,4.0,0.075,2.4
176,34773.0,0.089371716,67700.0,15.66438974,2.0,0.075,2.4
177,35205.0,0.092191598,312400.0,37.62615492,2.0,0.1,3.0
178,35801.0,0.08107863500000001,240400.0,17.90019279,3.0,0.09,4.5
179,37027.0,0.08934881866666666,221200.0,42.28560165,20.0,0.0975,3.0
180,37040.0,0.09596084,59400.0,5.374067528,2.0,0.095,4.5
181,37167.0,0.08934881866666666,91100.0,42.28560165,1.0,0.0975,3.0
182,37208.0,0.08395846,421600.0,42.28560165,3.0,0.0925,2.25
183,37403.0,0.0825941555,232700.0,16.77929778,3.0,0.0925,3.0
184,37404.0,0.0825941555,91500.0,16.77929778,2.0,0.0925,3.0
185,37406.0,0.0825941555,55200.0,16.77929778,2.0,0.0925,3.0
186,37408.0,0.0825941555,232100.0,16.77929778,3.0,0.0925,3.0
187,37410.0,0.0825941555,63200.0,16.77929778,1.0,0.0925,3.0
188,37421.0,0.0825941555,72800.0,16.77929778,9.0,0.0925,3.0
189,37862.0,0.08986155366666666,53200.0,12.09572213,4.0,0.0975,3.0
190,40204.0,0.102169396,409700.0,43.53979947,1.0,0.06,2.4000000000000004
191,40205.0,0.102169396,317500.0,43.53979947,2.0,0.06,3.0
192,40206.0,0.102169396,289700.0,43.53979947,2.0,0.06,2.4000000000000004
193,40207.0,0.102169396,240300.0,43.53979947,3.0,0.06,3.0
194,40347.0,0.10370499150000001,95600.0,19.62926606,1.0,0.06,2.52
195,40507.0,0.105367236,561700.0,4.76052281,2.0,0.06,2.55
196,43201.0,0.140257487,493500.0,26.1408422,4.0,0.075,6.735
197,43212.0,0.140257487,701700.0,26.1408422,19.0,0.075,2.2
198,43617.0,0.100326084,84700.0,155.9473625,2.0,0.0775,9.0
199,44145.0,0.10008557600000001,170300.0,99.86686205,2.0,0.08,3.0
200,44240.0,0.08950478649999999,81800.0,23.87980923,2.0,0.07,8.0
201,44646.0,0.083117789,85000.0,23.87980923,1.0,0.065,3.0
202,44805.0,0.09153117520000001,48900.0,99.86686205,1.0,0.07,6.0
203,45069.0,0.06957764250000001,118900.0,23.01945369,5.0,0.078,3.0
204,46173.0,0.10855309033333334,41900.0,14.04577623,3.0,0.22,2.7
205,46203.0,0.131553668,91300.0,16.55191162,1.0,0.22,3.0
206,46304.0,0.135807288,105500.0,7.909932041,2.0,0.22,9.0
207,46410.0,0.135807288,71100.0,21.03986059,1.0,0.22,1.5
208,47130.0,0.0988876945,97800.0,43.53979947,1.0,0.22,3.0
209,48092.0,0.0688234135,115200.0,2.98704191,2.0,0.06,3.0
210,48098.0,0.0688234135,216000.0,2.98704191,2.0,0.06,2.4000000000000004
211,48103.0,0.0688234135,373800.0,155.9473625,3.0,0.06,1.5
212,48326.0,0.0688234135,117800.0,2.98704191,7.0,0.06,3.0
213,48335.0,0.0688234135,160100.0,30.88338578,2.0,0.06,2.4
214,48415.0,0.07207143425000001,18500.0,17.92189879,1.0,0.06,6.0
215,48917.0,0.10993965275,78800.0,10.81291556,1.0,0.06,3.0
216,49423.0,0.098996353,108000.0,11.00555881,8.0,0.06,4.0
217,49464.0,0.089241861,77000.0,11.00555881,15.0,0.06,4.0
218,50010.0,0.104542202,179300.0,5.398983559,4.0,0.07,1.98
219,53097.0,0.10967861749999999,122600.0,25.78053272,1.0,0.055,5.8
220,53211.0,0.116861707,627900.0,25.78053272,6.0,0.055,6.0
221,53532.0,0.10463444933333332,163700.0,33.16743954,1.0,0.055,4.5
222,53562.0,0.1110404765,331600.0,20.40103717,5.0,0.055,6.0
223,53703.0,0.113598355,963000.0,33.16743954,18.0,0.055,6.0
224,53704.0,0.1110404765,330800.0,33.16743954,13.0,0.055,6.0
225,53705.0,0.113598355,454000.0,33.16743954,4.0,0.055,9.8
226,53711.0,0.1110404765,371900.0,33.16743954,5.0,0.055,6.0
227,53716.0,0.113598355,244600.0,33.16743954,5.0,0.055,6.0
228,53718.0,0.1110404765,281000.0,33.16743954,5.0,0.055,6.0
229,53719.0,0.1110404765,317800.0,20.40103717,9.0,0.055,6.0
230,54304.0,0.092580841,121900.0,6.954721987,4.0,0.055,3.0
231,54914.0,0.116861707,127500.0,6.954721987,1.0,0.055,3.0
232,55008.0,0.1109749295,59900.0,5.678995619,1.0,0.07875,6.0
233,55040.0,0.10896464533333333,65000.0,9.403317264,1.0,0.07875,1.98
